hospitalId,password,role,department,salt,isFirstLogin
DO6a12f3b,92Ivlg6I1bYfd1cdSO8sZg==,DOCTOR,RADIOLOGY,rsftbWsmggI/5TAHwr7GFw==,true
DO42b9e01,mOaplr/Cci+/dglRVzYmRg==,DOCTOR,CARDIOLOGY,aB3e5W5FEJHTg2Y2jp1Ozw==,true
DO5d9ce12,tMOMVANH6cF0fTfwKjzBRw==,DOCTOR,ORTHOPEDICS,lSTdyggRi0enx5gxh9FgSg==,true
DO9f2a4e3,G1GfoZtvkiwQXSHMIpDVSQ==,DOCTOR,GENERAL_SURGERY,dnq1sl5eHGcehCo3L8e5mQ==,true
DO840b6c5,1x0zjH/eM1lBnoGSsx/0fg==,DOCTOR,PHYSIOTHERAPY,L5gk7X2yZfHwdv7p2l5zZA==,true
AD1a23b4,9wQm0XbI5zDb4Tx5f9y8oA==,ADMINISTRATOR,ADMINISTRATOR,k8vMfBfsf0hDP5V7bQIt6Q==,true
AD7c5b8e,viqWxmcb4dzYyJYauMi6kg==,ADMINISTRATOR,ADMINISTRATOR,VYcDHyZ7lTBzDT14z+OYwA==,true
AD3f6d21,4qZBoJftHqgG84gzCzH8Mw==,ADMINISTRATOR,ADMINISTRATOR,KMtmGn8tC5lg4l81DPHh5A==,true
AD48b3c9,6bV5P2MvYNbjt8i3PTBp8Q==,ADMINISTRATOR,ADMINISTRATOR,XY0zhoTwXhz7XyPmpwVzMg==,true
AD9e6a5f,r1mbVgBVsYlk8KvXjFggmg==,ADMINISTRATOR,ADMINISTRATOR,UnTt9dC93Xlt3KkmccDQ8Q==,true
PH16b89a,FiWBzYVR32bpf4lHdo/qBQ==,PHARMACIST,PHARMACIST,5GxxWJ+Hg88vXnMX+ehHpg==,true
PH7d0f3b,d54T2mcDbpgTbI3OExIMYg==,PHARMACIST,PHARMACIST,FEv9onSHG+u++h3lgE1SRA==,true
PH1e4b27,2KLXe2T0llqGx1Zsg8gBZw==,PHARMACIST,PHARMACIST,r6o7fAYm8YjXNJ+xHGRDUg==,true
PH3f6b8a,XuxtVtzyq5GQpO7uP/ObFQ==,PHARMACIST,PHARMACIST,XNqif8bd5AzYUGVZ3T2aDw==,true
PH8e2d93,zcYtKmO4F+/gTbMTxOaIaw==,PHARMACIST,PHARMACIST,93YO1HY04Oj+sJ44tOn90Q==,true
